channel_config,n_channels,subject,best_acc,aver_acc,classes
c3c4,2,1,0.6805555555555556,0.6151944444444444,"1,2"
c3c4,2,2,0.6388888888888888,0.5744444444444446,"1,2"
c3c4,2,3,0.8888888888888888,0.8489999999999995,"1,2"
c3c4,2,4,0.6458333333333334,0.5663055555555555,"1,2"
c3c4,2,5,0.6180555555555556,0.54075,"1,2"
c3c4,2,6,0.6666666666666666,0.6177222222222216,"1,2"
c3c4,2,7,0.6666666666666666,0.5930277777777777,"1,2"
c3c4,2,8,0.6944444444444444,0.654638888888889,"1,2"
c3c4,2,9,0.8680555555555556,0.8279444444444451,"1,2"
